Year,arrivals
2021-10,22771
2021-11,44294
2021-12,89506
2022-1,88327
2022-2,96507
2022-3,106500
2022-4,62980
2022-5,30207
2022-6,32856
2022-7,47293
2022-8,37760
2022-9,29802
2022-10,42026
2022-11,59759
2022-12,91961
